command,entity,field,metric,perftype,tsidxnamespace
average,hostsystem,"p_average_cpu_coreUtilization_percent","average_cpu_coreUtilization_percent",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_demand_megaHertz","average_cpu_demand_megaHertz",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_latency_percent","average_cpu_latency_percent",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_reservedCapacity_megaHertz","average_cpu_reservedCapacity_megaHertz",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_totalCapacity_megaHertz","average_cpu_totalCapacity_megaHertz",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_usage_percent","average_cpu_usage_percent",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_usagemhz_megaHertz","average_cpu_usagemhz_megaHertz",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_cpu_utilization_percent","average_cpu_utilization_percent",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_costop_millisecond","summation_cpu_costop_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_idle_millisecond","summation_cpu_idle_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_ready_millisecond","summation_cpu_ready_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_run_millisecond","summation_cpu_run_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_swapwait_millisecond","summation_cpu_swapwait_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_used_millisecond","summation_cpu_used_millisecond",cpu,"vmw_perf_cpu_hostsystem"
summation,hostsystem,"p_summation_cpu_wait_millisecond","summation_cpu_wait_millisecond",cpu,"vmw_perf_cpu_hostsystem"
average,hostsystem,"p_average_mem_active_kiloBytes","average_mem_active_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_activewrite_kiloBytes","average_mem_activewrite_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_compressed_kiloBytes","average_mem_compressed_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_compressionRate_kiloBytesPerSecond","average_mem_compressionRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_consumed_kiloBytes","average_mem_consumed_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_decompressionRate_kiloBytesPerSecond","average_mem_decompressionRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_granted_kiloBytes","average_mem_granted_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_heap_kiloBytes","average_mem_heap_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_heapfree_kiloBytes","average_mem_heapfree_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_latency_percent","average_mem_latency_percent",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapIn_kiloBytes","average_mem_llSwapIn_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapInRate_kiloBytesPerSecond","average_mem_llSwapInRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapOut_kiloBytes","average_mem_llSwapOut_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapOutRate_kiloBytesPerSecond","average_mem_llSwapOutRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_llSwapUsed_kiloBytes","average_mem_llSwapUsed_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_lowfreethreshold_kiloBytes","average_mem_lowfreethreshold_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_overhead_kiloBytes","average_mem_overhead_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_reservedCapacity_megaBytes","average_mem_reservedCapacity_megaBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_shared_kiloBytes","average_mem_shared_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_sharedcommon_kiloBytes","average_mem_sharedcommon_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapin_kiloBytes","average_mem_swapin_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapinRate_kiloBytesPerSecond","average_mem_swapinRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapout_kiloBytes","average_mem_swapout_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapoutRate_kiloBytesPerSecond","average_mem_swapoutRate_kiloBytesPerSecond",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_swapused_kiloBytes","average_mem_swapused_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_sysUsage_kiloBytes","average_mem_sysUsage_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_totalCapacity_megaBytes","average_mem_totalCapacity_megaBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_unreserved_kiloBytes","average_mem_unreserved_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_usage_percent","average_mem_usage_percent",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_vmmemctl_kiloBytes","average_mem_vmmemctl_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_zero_kiloBytes","average_mem_zero_kiloBytes",mem,"vmw_perf_mem_hostsystem"
latest,hostsystem,"p_latest_mem_state_number","latest_mem_state_number",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_disk_read_kiloBytesPerSecond","average_disk_read_kiloBytesPerSecond",disk,"vmw_perf_disk_hostsystem"
average,hostsystem,"p_average_disk_usage_kiloBytesPerSecond","average_disk_usage_kiloBytesPerSecond",disk,"vmw_perf_disk_hostsystem"
average,hostsystem,"p_average_disk_write_kiloBytesPerSecond","average_disk_write_kiloBytesPerSecond",disk,"vmw_perf_disk_hostsystem"
latest,hostsystem,"p_latest_disk_maxTotalLatency_millisecond","latest_disk_maxTotalLatency_millisecond",disk,"vmw_perf_disk_hostsystem"
latest,hostsystem,"p_latest_datastore_maxTotalLatency_millisecond","latest_datastore_maxTotalLatency_millisecond",datastore,"vmw_perf_datastore_hostsystem"
average,hostsystem,"p_average_power_power_watt","average_power_power_watt",power,"vmw_perf_power_hostsystem"
average,hostsystem,"p_average_power_powerCap_watt","average_power_powerCap_watt",power,"vmw_perf_power_hostsystem"
summation,hostsystem,"p_summation_power_energy_joule","summation_power_energy_joule",power,"vmw_perf_power_hostsystem"
average,hostsystem,"p_average_net_bytesRx_kiloBytesPerSecond","average_net_bytesRx_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
average,hostsystem,"p_average_net_bytesTx_kiloBytesPerSecond","average_net_bytesTx_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
average,hostsystem,"p_average_net_received_kiloBytesPerSecond","average_net_received_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
average,hostsystem,"p_average_net_transmitted_kiloBytesPerSecond","average_net_transmitted_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
average,hostsystem,"p_average_net_usage_kiloBytesPerSecond","average_net_usage_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_broadcastRx_number","summation_net_broadcastRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_broadcastTx_number","summation_net_broadcastTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_droppedRx_number","summation_net_droppedRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_droppedTx_number","summation_net_droppedTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_errorsRx_number","summation_net_errorsRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_errorsTx_number","summation_net_errorsTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_multicastRx_number","summation_net_multicastRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_multicastTx_number","summation_net_multicastTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_packetsRx_number","summation_net_packetsRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_packetsTx_number","summation_net_packetsTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_unknownProtos_number","summation_net_unknownProtos_number",net,"vmw_perf_net_hostsystem"
thruput,hostsystem,"p_thruput",thruput,net,"vmw_perf_net_hostsystem"
latest,hostsystem,"p_latest_rescpu_actav15_percent","latest_rescpu_actav15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actav1_percent","latest_rescpu_actav1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actav5_percent","latest_rescpu_actav5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actpk15_percent","latest_rescpu_actpk15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actpk1_percent","latest_rescpu_actpk1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actpk5_percent","latest_rescpu_actpk5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_maxLimited15_percent","latest_rescpu_maxLimited15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_maxLimited1_percent","latest_rescpu_maxLimited1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_maxLimited5_percent","latest_rescpu_maxLimited5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runav15_percent","latest_rescpu_runav15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runav1_percent","latest_rescpu_runav1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runav5_percent","latest_rescpu_runav5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runpk15_percent","latest_rescpu_runpk15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runpk1_percent","latest_rescpu_runpk1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runpk5_percent","latest_rescpu_runpk5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_sampleCount_number","latest_rescpu_sampleCount_number",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_samplePeriod_millisecond","latest_rescpu_samplePeriod_millisecond",rescpu,"vmw_perf_rescpu_hostsystem"
average,hostsystem,"p_average_hbr_hbrNetRx_kiloBytesPerSecond","average_hbr_hbrNetRx_kiloBytesPerSecond",hbr,"vmw_perf_hbr_hostsystem"
average,hostsystem,"p_average_hbr_hbrNetTx_kiloBytesPerSecond","average_hbr_hbrNetTx_kiloBytesPerSecond",hbr,"vmw_perf_hbr_hostsystem"
average,hostsystem,"p_average_hbr_hbrNumVms_number","average_hbr_hbrNumVms_number",hbr,"vmw_perf_hbr_hostsystem"
latest,hostsystem,"p_latest_storageAdapter_maxTotalLatency_millisecond","latest_storageAdapter_maxTotalLatency_millisecond",storageadpater,"vmw_perf_storageadpater_hostsystem"
latest,hostsystem,"p_latest_storagePath_maxTotalLatency_millisecond","latest_storagePath_maxTotalLatency_millisecond",storagepath,"vmw_perf_storagepath_hostsystem"
latest,hostsystem,"p_latest_sys_uptime_second","latest_sys_uptime_second",sys,"vmw_perf_sys_hostsystem"
uptime,hostsystem,"p_uptime",uptime,sys,"vmw_perf_sys_hostsystem"
average,virtualmachine,"p_average_cpu_coreUtilization_percent","average_cpu_coreUtilization_percent",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_demand_megaHertz","average_cpu_demand_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_latency_percent","average_cpu_latency_percent",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_reservedCapacity_megaHertz","average_cpu_reservedCapacity_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_totalCapacity_megaHertz","average_cpu_totalCapacity_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_usage_percent","average_cpu_usage_percent",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_usagemhz_megaHertz","average_cpu_usagemhz_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_utilization_percent","average_cpu_utilization_percent",cpu,"vmw_perf_cpu_virtualmachine"
latest,virtualmachine,"p_latest_cpu_entitlement_megaHertz","latest_cpu_entitlement_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_costop_millisecond","summation_cpu_costop_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_idle_millisecond","summation_cpu_idle_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_maxlimited_millisecond","summation_cpu_maxlimited_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_overlap_millisecond","summation_cpu_overlap_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_ready_millisecond","summation_cpu_ready_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_run_millisecond","summation_cpu_run_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_system_millisecond","summation_cpu_system_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_swapwait_millisecond","summation_cpu_swapwait_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_used_millisecond","summation_cpu_used_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_wait_millisecond","summation_cpu_wait_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_mem_active_kiloBytes","average_mem_active_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_activewrite_kiloBytes","average_mem_activewrite_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_compressed_kiloBytes","average_mem_compressed_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_compressionRate_kiloBytesPerSecond","average_mem_compressionRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_consumed_kiloBytes","average_mem_consumed_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_decompressionRate_kiloBytesPerSecond","average_mem_decompressionRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_entitlement_kiloBytes","average_mem_entitlement_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_granted_kiloBytes","average_mem_granted_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_heap_kiloBytes","average_mem_heap_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_heapfree_kiloBytes","average_mem_heapfree_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_latency_percent","average_mem_latency_percent",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapIn_kiloBytes","average_mem_llSwapIn_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapInRate_kiloBytesPerSecond","average_mem_llSwapInRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapOut_kiloBytes","average_mem_llSwapOut_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapOutRate_kiloBytesPerSecond","average_mem_llSwapOutRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapUsed_kiloBytes","average_mem_llSwapUsed_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_lowfreethreshold_kiloBytes","average_mem_lowfreethreshold_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_overhead_kiloBytes","average_mem_overhead_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_overheadMax_kiloBytes","average_mem_overheadMax_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_overheadTouched_kiloBytes","average_mem_overheadTouched_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_reservedCapacity_megaBytes","average_mem_reservedCapacity_megaBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_shared_kiloBytes","average_mem_shared_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_sharedcommon_kiloBytes","average_mem_sharedcommon_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_swapin_kiloBytes","average_mem_swapin_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_swapinRate_kiloBytesPerSecond","average_mem_swapinRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_swapout_kiloBytes","average_mem_swapout_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_swapoutRate_kiloBytesPerSecond","average_mem_swapoutRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_swapped_kiloBytes","average_mem_swapped_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_swaptarget_kiloBytes","average_mem_swaptarget_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_swapused_kiloBytes","average_mem_swapused_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_sysUsage_kiloBytes","average_mem_sysUsage_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_totalCapacity_megaBytes","average_mem_totalCapacity_megaBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_unreserved_kiloBytes","average_mem_unreserved_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_usage_percent","average_mem_usage_percent",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_vmmemctl_kiloBytes","average_mem_vmmemctl_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_vmmemctltarget_kiloBytes","average_mem_vmmemctltarget_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_zero_kiloBytes","average_mem_zero_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
latest,virtualmachine,"p_latest_mem_state_number","latest_mem_state_number",mem,"vmw_perf_mem_virtualmachine"
latest,virtualmachine,"p_latest_mem_zipped_kiloBytes","latest_mem_zipped_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
latest,virtualmachine,"p_latest_mem_zipSaved_kiloBytes","latest_mem_zipSaved_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_disk_read_kiloBytesPerSecond","average_disk_read_kiloBytesPerSecond",disk,"vmw_perf_disk_virtualmachine"
average,virtualmachine,"p_average_disk_usage_kiloBytesPerSecond","average_disk_usage_kiloBytesPerSecond",disk,"vmw_perf_disk_virtualmachine"
average,virtualmachine,"p_average_disk_write_kiloBytesPerSecond","average_disk_write_kiloBytesPerSecond",disk,"vmw_perf_disk_virtualmachine"
latest,virtualmachine,"p_latest_disk_maxTotalLatency_millisecond","latest_disk_maxTotalLatency_millisecond",disk,"vmw_perf_disk_virtualmachine"
latest,virtualmachine,"p_latest_datastore_maxTotalLatency_millisecond","latest_datastore_maxTotalLatency_millisecond",datastore,"vmw_perf_datastore_virtualmachine"
average,virtualmachine,"p_average_power_power_watt","average_power_power_watt",power,"vmw_perf_power_virtualmachine"
average,virtualmachine,"p_average_power_powerCap_watt","average_power_powerCap_watt",power,"vmw_perf_power_virtualmachine"
summation,virtualmachine,"p_summation_power_energy_joule","summation_power_energy_joule",power,"vmw_perf_power_virtualmachine"
average,virtualmachine,"p_average_net_bytesRx_kiloBytesPerSecond","average_net_bytesRx_kiloBytesPerSecond",net,"vmw_perf_net_virtualmachine"
average,virtualmachine,"p_average_net_bytesTx_kiloBytesPerSecond","average_net_bytesTx_kiloBytesPerSecond",net,"vmw_perf_net_virtualmachine"
average,virtualmachine,"p_average_net_received_kiloBytesPerSecond","average_net_received_kiloBytesPerSecond",net,"vmw_perf_net_virtualmachine"
average,virtualmachine,"p_average_net_transmitted_kiloBytesPerSecond","average_net_transmitted_kiloBytesPerSecond",net,"vmw_perf_net_virtualmachine"
average,virtualmachine,"p_average_net_usage_kiloBytesPerSecond","average_net_usage_kiloBytesPerSecond",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_broadcastRx_number","summation_net_broadcastRx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_broadcastTx_number","summation_net_broadcastTx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_droppedRx_number","summation_net_droppedRx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_droppedTx_number","summation_net_droppedTx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_errorsRx_number","summation_net_errorsRx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_errorsTx_number","summation_net_errorsTx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_multicastRx_number","summation_net_multicastRx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_multicastTx_number","summation_net_multicastTx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_packetsRx_number","summation_net_packetsRx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_packetsTx_number","summation_net_packetsTx_number",net,"vmw_perf_net_virtualmachine"
summation,virtualmachine,"p_summation_net_unknownProtos_number","summation_net_unknownProtos_number",net,"vmw_perf_net_virtualmachine"
thruput,virtualmachine,"p_thruput",thruput,net,"vmw_perf_net_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_actav15_percent","latest_rescpu_actav15_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_actav1_percent","latest_rescpu_actav1_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_actav5_percent","latest_rescpu_actav5_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_actpk15_percent","latest_rescpu_actpk15_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_actpk1_percent","latest_rescpu_actpk1_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_actpk5_percent","latest_rescpu_actpk5_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_maxLimited15_percent","latest_rescpu_maxLimited15_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_maxLimited1_percent","latest_rescpu_maxLimited1_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_maxLimited5_percent","latest_rescpu_maxLimited5_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_runav15_percent","latest_rescpu_runav15_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_runav1_percent","latest_rescpu_runav1_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_runav5_percent","latest_rescpu_runav5_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_runpk15_percent","latest_rescpu_runpk15_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_runpk1_percent","latest_rescpu_runpk1_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_runpk5_percent","latest_rescpu_runpk5_percent",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_sampleCount_number","latest_rescpu_sampleCount_number",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_rescpu_samplePeriod_millisecond","latest_rescpu_samplePeriod_millisecond",rescpu,"vmw_perf_rescpu_virtualmachine"
latest,virtualmachine,"p_latest_sys_osUptime_second","latest_sys_osUptime_second",sys,"vmw_perf_sys_virtualmachine"
latest,virtualmachine,"p_latest_sys_uptime_second","latest_sys_uptime_second",sys,"vmw_perf_sys_virtualmachine"
summation,virtualmachine,"p_summation_sys_heartbeat_number","summation_sys_heartbeat_number",sys,"vmw_perf_sys_virtualmachine"
uptime,virtualmachine,"p_uptime",uptime,sys,"vmw_perf_sys_virtualmachine"
